row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest,day
202,2019,9,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,LAT KRABANG,บ้าน,Detached House,57,1356,2023-08-31
2285,2019,7,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,อาคารพาณิชย์,Commercial,15,54,2023-08-31
2142,2021,3,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,LAT KRABANG,บ้าน,Detached House,20,218,2023-08-31
1444,2020,1,กรุงเทพมหานคร,Bangkok,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,คอนโด,Condo,9,13,2023-08-31
132,2022,4,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,ทาวน์โฮม,Townhome,5,30,2023-08-31
805,2022,10,กรุงเทพมหานคร,Bangkok,พญาไท,PHAYA THAI,โฮมออฟฟิศ,Home office,13,112,2023-08-31
1719,2022,9,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,บ้าน,Detached House,38,2780,2023-08-31
479,2020,11,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,ทาวน์โฮม,Townhome,58,895,2023-08-31
568,2019,6,กรุงเทพมหานคร,Bangkok,ยานนาวา,YAN NAWA,คอนโด,Condo,23,52,2023-08-31
325,2019,2,นนทบุรี,Nonthaburi,ไทรน้อย,SAI NOI,บ้านแฝด,Twin house,139,2470,2023-08-31
1764,2020,5,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้าน,Detached House,144,1938,2023-08-31
961,2022,7,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,บ้านแฝด,Twin house,14,198,2023-08-31
663,2020,1,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,บ้าน,Detached House,44,276,2023-08-31
1507,2020,3,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,บ้าน,Detached House,108,906,2023-08-31
1031,2020,1,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,BUENG KUM,คอนโด,Condo,26,273,2023-08-31
8,2022,10,กรุงเทพมหานคร,Bangkok,พญาไท,PHAYA THAI,บ้าน,Detached House,13,112,2023-08-31
1225,2019,5,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้าน,Detached House,98,1080,2023-08-31
1887,2019,8,กรุงเทพมหานคร,Bangkok,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,39,140,2023-08-31
1106,2020,3,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,ทาวน์โฮม,Townhome,39,412,2023-08-31
1036,2019,6,กรุงเทพมหานคร,Bangkok,บางนา,BANG NA,คอนโด,Condo,83,401,2023-08-31
2312,2020,11,กรุงเทพมหานคร,Bangkok,ดินแดง,DIN DAENG,คอนโด,Condo,35,146,2023-08-31
191,2019,8,กรุงเทพมหานคร,Bangkok,บางพลัด,BANG PHLAT,คอนโด,Condo,28,148,2023-08-31
652,2021,11,กรุงเทพมหานคร,Bangkok,ธนบุรี,THON BURI,คอนโด,Condo,26,1061,2023-08-31
2085,2022,6,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,33,102,2023-08-31
1974,2019,6,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,บ้าน,Detached House,135,1477,2023-08-31
216,2019,5,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,ทาวน์โฮม,Townhome,26,438,2023-08-31
691,2022,1,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,LAT KRABANG,บ้าน,Detached House,74,354,2023-08-31
1932,2020,5,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,บ้านแฝด,Twin house,22,108,2023-08-31
