row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source,day
64,3980,YAN NAWA,ยานนาวา,3977,SATHON,สาทร,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,100.0,99.0,100.0,98.0,baania,2023-08-31
48,3834,THAWI WATTHANA,ทวีวัฒนา,3833,THAWI WATTHANA,ทวีวัฒนา,3781,Bangkok,กรุงเทพมหานคร,51.0,83.0,51.0,92.0,99.0,79.0,1.0,70.0,1.0,29.0,84.0,43.0,90.0,62.0,33.0,64.0,baania,2023-08-31
256,3766,KRATHUM LOM,กระทุ่มล้ม,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,48.0,14.0,64.0,87.0,92.0,70.0,0.0,92.0,0.0,37.0,93.0,91.0,93.0,96.0,96.0,94.0,baania,2023-08-31
283,3628,RANGSIT,รังสิต,3623,THANYABURI,ธัญบุรี,3599,Pathum Thani,ปทุมธานี,85.0,64.0,72.0,99.0,99.0,90.0,0.0,97.0,0.0,39.0,100.0,100.0,99.0,98.0,97.0,98.0,baania,2023-08-31
198,3823,WACHIRA PHAYABAN,วชิรพยาบาล,3817,DUSIT,ดุสิต,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,15.0,100.0,100.0,66.0,100.0,90.0,100.0,95.0,90.0,96.0,baania,2023-08-31
291,3416,BAN MAI,บ้านใหม่,3411,BANG YAI,บางใหญ่,3372,Nonthaburi,นนทบุรี,34.0,51.0,56.0,65.0,92.0,59.0,1.0,1.0,1.0,1.0,93.0,81.0,78.0,92.0,98.0,91.0,baania,2023-08-31
156,3427,BANG PHUT,บางพูด,3418,PAK KRET,ปากเกร็ด,3372,Nonthaburi,นนทบุรี,95.0,96.0,82.0,98.0,97.0,96.0,1.0,100.0,73.0,55.0,100.0,100.0,99.0,100.0,100.0,100.0,baania,2023-08-31
102,3779,HOM KRET,หอมเกร็ด,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,34.0,17.0,51.0,100.0,100.0,73.0,0.0,34.0,0.0,13.0,86.0,89.0,96.0,100.0,100.0,96.0,baania,2023-08-31
1,3383,SUAN YAI,สวนใหญ่,3373,MUEANG NONTHABURI,เมืองนนทบุรี,3372,Nonthaburi,นนทบุรี,91.0,98.0,84.0,99.0,98.0,96.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,99.0,100.0,99.0,baania,2023-08-31
42,3554,LAEM FA PHA,แหลมฟ้าผ่า,3549,PHRA SAMUT CHEDI,พระสมุทรเจดีย์,3498,Samut Prakan,สมุทรปราการ,72.0,100.0,72.0,100.0,100.0,91.0,1.0,97.0,0.0,39.0,95.0,100.0,97.0,100.0,100.0,99.0,baania,2023-08-31
150,3888,MAHA PHRUETTHARAM,มหาพฤฒาราม,3886,BANG RAK,บางรัก,3781,Bangkok,กรุงเทพมหานคร,88.0,100.0,88.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,99.0,baania,2023-08-31
79,3678,BAN YANG,บ้านยาง,3668,MUEANG NAKHON PATHOM,เมืองนครปฐม,3667,Nakhon Pathom,นครปฐม,1.0,1.0,100.0,100.0,100.0,70.0,0.0,1.0,0.0,0.0,1.0,73.0,100.0,100.0,100.0,78.0,baania,2023-08-31
197,3620,KHLONG HA,คลองห้า,3615,KHLONG LUANG,คลองหลวง,3599,Pathum Thani,ปทุมธานี,38.0,1.0,56.0,69.0,90.0,57.0,0.0,37.0,0.0,15.0,98.0,100.0,98.0,92.0,41.0,90.0,baania,2023-08-31
